model,config,assay,delta,snr
650M,bf16,A0A192B1T2_9HIV1_Haddox_2018,-0.0008898785490230043,53.44502636436111
650M,bf16,A0A1I9GEU1_NEIME_Kennouche_2019,-0.0005466047131323995,68.53014392815157
650M,bf16,A0A247D711_LISMN_Stadelmann_2021,-0.0005598346933616966,72.8201867080474
650M,bf16,A0A2Z5U3Z0_9INFA_Doud_2016,-0.00044465018550754465,29.666667329152755
650M,bf16,A0A2Z5U3Z0_9INFA_Wu_2014,0.00027404700911370927,29.10436188643915
650M,bf16,A4D664_9INFA_Soh_2019,0.0002005778822911919,63.22104002101102
650M,bf16,A4GRB6_PSEAI_Chen_2020,-0.0008926670206224063,74.08971078831743
650M,bf16,A4_HUMAN_Seuma_2022,-0.0011391890142291028,62.44295540369328
650M,bf16,AACC1_PSEAI_Dandage_2018,-0.0008825437903012823,57.00698890205165
650M,bf16,ACE2_HUMAN_Chan_2020,0.000921259292686688,47.95981728578387
650M,bf16,ADRB2_HUMAN_Jones_2020,0.00017951915361347215,70.5151564998706
650M,bf16,AICDA_HUMAN_Gajula_2014_3cycles,-0.004037691239721086,54.77488026878154
650M,bf16,AMFR_HUMAN_Tsuboyama_2023_4G3O,0.0007432387590962097,77.71952693367504
650M,bf16,AMIE_PSEAE_Wrenbeck_2017,1.799202040431158e-05,50.225685432584164
650M,bf16,ANCSZ_Hobbs_2022,-0.00035304614834796855,76.46696749830474
650M,bf16,ARGR_ECOLI_Tsuboyama_2023_1AOY,0.0015485180052899894,41.636861861978076
650M,bf16,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.0162306242133603,27.388286173299072
650M,bf16,BBC1_YEAST_Tsuboyama_2023_1TG0,0.0004291603534329891,101.31100117370332
650M,bf16,BCHB_CHLTE_Tsuboyama_2023_2KRU,0.002424199756183576,51.56077795274274
650M,bf16,BLAT_ECOLX_Deng_2012,0.0008355895761653631,58.287350008865985
650M,bf16,BLAT_ECOLX_Firnberg_2014,-0.0005011596596032897,57.85546211577926
650M,bf16,BLAT_ECOLX_Jacquier_2013,-0.0005537157963815265,60.19840314528218
650M,bf16,BLAT_ECOLX_Stiffler_2015,-0.0003430522745464515,58.287350008865985
650M,bf16,C6KNH7_9INFA_Lee_2018,-0.0010952111296504974,33.27064740000547
650M,bf16,CALM1_HUMAN_Weile_2017,-0.0014580605478273778,49.842227517595234
650M,bf16,CAPSD_AAV2S_Sinai_2021,0.0012043958469908356,91.82655685131014
