assay,config,seq_len,n_variants,n_positions,seconds,peak_mem_gb,variants_per_s,positions_per_s,rho_expt,category,msa_depth,rho_fp32
A0A192B1T2_9HIV1_Haddox_2018,bf16,852,12577,662,10.964,5.99,1147.1,60.38,0.13014069976652456,OrganismalFitness,Medium,0.9996016167446075
A0A192B1T2_9HIV1_Haddox_2018,fp32,852,12577,662,81.368,12.068,154.6,8.14,0.13157921086160804,OrganismalFitness,Medium,1.0
A0A192B1T2_9HIV1_Haddox_2018,fp8_dyn,852,12577,662,13.411,3.484,937.8,49.36,0.12689877626067037,OrganismalFitness,Medium,0.9926470374780556
A0A192B1T2_9HIV1_Haddox_2018,int4_wo,852,12577,662,132.22,2.307,95.1,5.01,0.13314299208454514,OrganismalFitness,Medium,0.970791038049264
A0A192B1T2_9HIV1_Haddox_2018,int8_dyn,852,12577,662,46.92,3.475,268.0,14.11,0.1307954597021095,OrganismalFitness,Medium,0.9687356572678327
A0A192B1T2_9HIV1_Haddox_2018,int8_dyn_asym,852,12577,662,31.528,4.005,398.9,21.0,0.1314378284125866,OrganismalFitness,Medium,0.9961550992012792
A0A192B1T2_9HIV1_Haddox_2018,int8_dyn_sq,852,12577,662,47.526,3.614,264.6,13.93,0.12710592952207897,OrganismalFitness,Medium,0.9930788727841438
A0A192B1T2_9HIV1_Haddox_2018,int8_wo,852,12577,662,13.696,3.361,918.3,48.34,0.1324420436306472,OrganismalFitness,Medium,0.999276782140568
A0A1I9GEU1_NEIME_Kennouche_2019,bf16,161,922,161,0.552,5.45,1671.4,291.67,0.027800372679100068,Activity,Medium,0.9998457467308719
A0A1I9GEU1_NEIME_Kennouche_2019,fp32,161,922,161,4.005,11.001,230.2,40.2,0.027447900251348845,Activity,Medium,1.0
A0A1I9GEU1_NEIME_Kennouche_2019,fp8_dyn,161,922,161,1.713,2.838,538.3,93.99,0.02392347378400021,Activity,Medium,0.9959080435094945
A0A1I9GEU1_NEIME_Kennouche_2019,int4_wo,161,922,161,6.171,1.766,149.4,26.09,0.012740463714749453,Activity,Medium,0.9815084393001382
A0A1I9GEU1_NEIME_Kennouche_2019,int8_dyn,161,922,161,7.663,2.935,120.3,21.01,0.03748377583714213,Activity,Medium,0.9895313136683126
A0A1I9GEU1_NEIME_Kennouche_2019,int8_dyn_asym,161,922,161,2.467,2.938,373.7,65.26,0.027471827248348388,Activity,Medium,0.998436717819231
A0A1I9GEU1_NEIME_Kennouche_2019,int8_dyn_sq,161,922,161,7.586,2.968,121.5,21.22,0.030180218371958615,Activity,Medium,0.9970690539033215
A0A1I9GEU1_NEIME_Kennouche_2019,int8_wo,161,922,161,0.842,2.82,1094.6,191.21,0.02801577407841034,Activity,Medium,0.9996193885945752
A0A247D711_LISMN_Stadelmann_2021,bf16,87,1653,87,0.23,5.389,7173.1,378.26,0.08178103527592451,Activity,Low,0.9996752734767645
A0A247D711_LISMN_Stadelmann_2021,fp32,87,1653,87,1.158,10.887,1427.1,75.13,0.08378238676425884,Activity,Low,1.0
A0A247D711_LISMN_Stadelmann_2021,fp8_dyn,87,1653,87,0.909,2.769,1817.8,95.71,0.07925673410835408,Activity,Low,0.9949955465225114
A0A247D711_LISMN_Stadelmann_2021,int4_wo,87,1653,87,1.866,1.707,886.1,46.62,0.0827089648197567,Activity,Low,0.9916938613320099
A0A247D711_LISMN_Stadelmann_2021,int8_dyn,87,1653,87,4.003,2.877,412.9,21.73,0.07202506617859519,Activity,Low,0.911637522896927
A0A247D711_LISMN_Stadelmann_2021,int8_dyn_asym,87,1653,87,1.303,2.831,1268.8,66.77,0.0766383001900714,Activity,Low,0.9944087383983784
A0A247D711_LISMN_Stadelmann_2021,int8_dyn_sq,87,1653,87,3.962,2.9,417.3,21.96,0.08011997108303107,Activity,Low,0.997637910669795
A0A247D711_LISMN_Stadelmann_2021,int8_wo,87,1653,87,0.334,2.771,4956.5,260.48,0.08342152114148395,Activity,Low,0.9996463034765012
A0A2Z5U3Z0_9INFA_Doud_2016,bf16,565,10715,564,5.858,5.762,1829.1,96.28,0.49669830450224156,OrganismalFitness,Medium,0.9995816934464249
A0A2Z5U3Z0_9INFA_Doud_2016,fp32,565,10715,564,42.512,11.628,252.0,13.27,0.4976486470079242,OrganismalFitness,Medium,1.0
A0A2Z5U3Z0_9INFA_Doud_2016,fp8_dyn,565,10715,564,7.544,3.215,1420.3,74.76,0.5004519613251853,OrganismalFitness,Medium,0.9916413158775474
A0A2Z5U3Z0_9INFA_Doud_2016,int4_wo,565,10715,564,74.518,2.079,143.8,7.57,0.5064320546715625,OrganismalFitness,Medium,0.9638705483612039
A0A2Z5U3Z0_9INFA_Doud_2016,int8_dyn,565,10715,564,31.828,3.251,336.7,17.72,0.49511297654036446,OrganismalFitness,Medium,0.9815100217015775
A0A2Z5U3Z0_9INFA_Doud_2016,int8_dyn_asym,565,10715,564,18.396,3.559,582.5,30.66,0.4948558069646137,OrganismalFitness,Medium,0.995976951115395
A0A2Z5U3Z0_9INFA_Doud_2016,int8_dyn_sq,565,10715,564,32.0,3.346,334.8,17.62,0.4965882992161878,OrganismalFitness,Medium,0.9910598086577511
A0A2Z5U3Z0_9INFA_Doud_2016,int8_wo,565,10715,564,7.661,3.133,1398.6,73.62,0.4950295286587172,OrganismalFitness,Medium,0.9992587304113648
A0A2Z5U3Z0_9INFA_Wu_2014,bf16,565,2350,552,5.653,5.762,415.7,97.65,0.4812140818622843,OrganismalFitness,Medium,0.9995388271700861
A0A2Z5U3Z0_9INFA_Wu_2014,fp32,565,2350,552,41.439,11.628,56.7,13.32,0.4812490363051836,OrganismalFitness,Medium,1.0
A0A2Z5U3Z0_9INFA_Wu_2014,fp8_dyn,565,2350,552,7.272,3.215,323.1,75.91,0.4795555514238999,OrganismalFitness,Medium,0.9902384460066693
A0A2Z5U3Z0_9INFA_Wu_2014,int4_wo,565,2350,552,72.85,2.079,32.3,7.58,0.47837240185782565,OrganismalFitness,Medium,0.9601599398841065
A0A2Z5U3Z0_9INFA_Wu_2014,int8_dyn,565,2350,552,30.921,3.251,76.0,17.85,0.4777884493030271,OrganismalFitness,Medium,0.97941888246397
A0A2Z5U3Z0_9INFA_Wu_2014,int8_dyn_asym,565,2350,552,17.905,3.559,131.2,30.83,0.47591909602851973,OrganismalFitness,Medium,0.9953137929830654
A0A2Z5U3Z0_9INFA_Wu_2014,int8_dyn_sq,565,2350,552,31.085,3.346,75.6,17.76,0.4777308768310824,OrganismalFitness,Medium,0.990303573925501
A0A2Z5U3Z0_9INFA_Wu_2014,int8_wo,565,2350,552,7.41,3.133,317.1,74.49,0.4771782584326121,OrganismalFitness,Medium,0.9990667788435516
A4D664_9INFA_Soh_2019,bf16,759,14421,759,10.769,5.914,1339.2,70.48,0.21133502664235965,OrganismalFitness,Medium,0.9997630823063662
A4D664_9INFA_Soh_2019,fp32,759,14421,759,78.054,11.927,184.8,9.72,0.21095654985345516,OrganismalFitness,Medium,1.0
A4D664_9INFA_Soh_2019,fp8_dyn,759,14421,759,13.447,3.396,1072.4,56.44,0.20862854485004767,OrganismalFitness,Medium,0.9959997463178041
A4D664_9INFA_Soh_2019,int4_wo,759,14421,759,134.82,2.231,107.0,5.63,0.2055585681493037,OrganismalFitness,Medium,0.9796352482204489
A4D664_9INFA_Soh_2019,int8_dyn,759,14421,759,48.528,3.404,297.2,15.64,0.20835974950520572,OrganismalFitness,Medium,0.9696668474447976
A4D664_9INFA_Soh_2019,int8_dyn_asym,759,14421,759,32.194,3.861,447.9,23.58,0.21203944127013372,OrganismalFitness,Medium,0.9972700549595608
A4D664_9INFA_Soh_2019,int8_dyn_sq,759,14421,759,49.255,3.528,292.8,15.41,0.2101774272012862,OrganismalFitness,Medium,0.9961259965902132
A4D664_9INFA_Soh_2019,int8_wo,759,14421,759,13.8,3.285,1045.0,55.0,0.2109979128223074,OrganismalFitness,Medium,0.9996003389192593
A4GRB6_PSEAI_Chen_2020,bf16,266,5004,266,1.371,5.529,3648.8,194.02,0.7118348584183615,OrganismalFitness,High,0.9998318089579865
A4GRB6_PSEAI_Chen_2020,fp32,266,5004,266,11.322,11.164,442.0,23.49,0.7117230965733381,OrganismalFitness,High,1.0
A4GRB6_PSEAI_Chen_2020,fp8_dyn,266,5004,266,2.844,2.935,1759.6,93.53,0.7193642836868777,OrganismalFitness,High,0.9960375157734751
A4GRB6_PSEAI_Chen_2020,int4_wo,266,5004,266,16.682,1.846,300.0,15.95,0.7151708944452001,OrganismalFitness,High,0.9829050633497032
A4GRB6_PSEAI_Chen_2020,int8_dyn,266,5004,266,13.132,2.894,381.1,20.26,0.7117608809012055,OrganismalFitness,High,0.9911761009194568
A4GRB6_PSEAI_Chen_2020,int8_dyn_asym,266,5004,266,4.819,3.099,1038.4,55.2,0.7133940738179825,OrganismalFitness,High,0.9982426349399701
A4GRB6_PSEAI_Chen_2020,int8_dyn_sq,266,5004,266,13.067,2.903,383.0,20.36,0.7148291357758771,OrganismalFitness,High,0.9974955634833722
A4GRB6_PSEAI_Chen_2020,int8_wo,266,5004,266,1.963,2.9,2549.3,135.51,0.7114952458156791,OrganismalFitness,High,0.9996023332411941
A4_HUMAN_Seuma_2022,bf16,770,14811,42,0.899,5.922,16479.1,46.72,0.4765999578646042,Stability,Low,0.9995031033775146
A4_HUMAN_Seuma_2022,fp32,770,14811,42,4.665,11.944,3175.0,9.0,0.47967671775694903,Stability,Low,1.0
A4_HUMAN_Seuma_2022,fp8_dyn,770,14811,42,1.088,3.407,13616.8,38.6,0.4732891487340921,Stability,Low,0.9921328651484163
A4_HUMAN_Seuma_2022,int4_wo,770,14811,42,7.856,2.239,1885.3,5.35,0.5117245740519499,Stability,Low,0.956813262052551
A4_HUMAN_Seuma_2022,int8_dyn,770,14811,42,4.217,3.288,3512.0,9.96,0.4484780711177483,Stability,Low,0.9725665681462651
A4_HUMAN_Seuma_2022,int8_dyn_asym,770,14811,42,2.125,3.876,6970.8,19.76,0.4703158468210249,Stability,Low,0.9944213068341168
A4_HUMAN_Seuma_2022,int8_dyn_sq,770,14811,42,4.252,3.296,3482.9,9.88,0.4715949973469177,Stability,Low,0.9882827166996343
A4_HUMAN_Seuma_2022,int8_wo,770,14811,42,1.087,3.293,13619.5,38.64,0.47552432097465736,Stability,Low,0.9992510355687189
AACC1_PSEAI_Dandage_2018,bf16,177,1801,161,0.579,5.459,3112.6,278.07,0.5111777909768676,OrganismalFitness,High,0.9998788249305135
AACC1_PSEAI_Dandage_2018,fp32,177,1801,161,4.048,11.026,444.9,39.77,0.5108110995755487,OrganismalFitness,High,1.0
AACC1_PSEAI_Dandage_2018,fp8_dyn,177,1801,161,1.707,2.853,1054.9,94.32,0.5071751741889888,OrganismalFitness,High,0.9971067560967442
AACC1_PSEAI_Dandage_2018,int4_wo,177,1801,161,6.769,1.776,266.1,23.78,0.49598260834921665,OrganismalFitness,High,0.9887670381625563
AACC1_PSEAI_Dandage_2018,int8_dyn,177,1801,161,7.701,2.947,233.9,20.91,0.5068765622746415,OrganismalFitness,High,0.9927420870416696
AACC1_PSEAI_Dandage_2018,int8_dyn_asym,177,1801,161,2.462,2.961,731.6,65.39,0.5089458473682497,OrganismalFitness,High,0.998560287295707
