assay,config,seq_len,n_variants,n_positions,seconds,peak_mem_gb,variants_per_s,positions_per_s,rho_expt,category,msa_depth,rho_fp32
BLAT_ECOLX_Stiffler_2015,bf16,286,4996,263,1.389,5.55,3597.4,189.34,0.589623865951026,OrganismalFitness,High,0.9996515991523476
BLAT_ECOLX_Stiffler_2015,fp32,286,4996,263,11.175,11.194,447.1,23.53,0.5893394010615006,OrganismalFitness,High,1.0
BLAT_ECOLX_Stiffler_2015,fp8_dyn,286,4996,263,2.776,2.956,1799.6,94.74,0.608752894300762,OrganismalFitness,High,0.989922142795817
BLAT_ECOLX_Stiffler_2015,int4_wo,286,4996,263,17.82,1.867,280.4,14.76,0.6388079432596621,OrganismalFitness,High,0.9633744245122806
BLAT_ECOLX_Stiffler_2015,int8_dyn,286,4996,263,13.127,2.914,380.6,20.04,0.6159585596302262,OrganismalFitness,High,0.9824270504949206
BLAT_ECOLX_Stiffler_2015,int8_wo,286,4996,263,1.991,2.92,2508.8,132.09,0.5912816984181064,OrganismalFitness,High,0.9993313470898612
MSH2_HUMAN_Jia_2020,bf16,934,16749,934,16.795,6.051,997.3,55.61,0.29713585894700395,OrganismalFitness,Medium,0.9995394959246997
MSH2_HUMAN_Jia_2020,fp32,934,16749,934,119.246,12.198,140.5,7.83,0.2964985357241636,OrganismalFitness,Medium,1.0
MSH2_HUMAN_Jia_2020,fp8_dyn,934,16749,934,20.677,3.559,810.0,45.17,0.3041884924475369,OrganismalFitness,Medium,0.9891405981805292
MSH2_HUMAN_Jia_2020,int4_wo,934,16749,934,205.889,2.368,81.3,4.54,0.30537622313083473,OrganismalFitness,Medium,0.9540121089199849
MSH2_HUMAN_Jia_2020,int8_dyn,934,16749,934,96.522,3.416,173.5,9.68,0.3116090590784057,OrganismalFitness,Medium,0.9732470606829314
MSH2_HUMAN_Jia_2020,int8_wo,934,16749,934,21.29,3.422,786.7,43.87,0.2982653006056404,OrganismalFitness,Medium,0.9991223513860982
TCRG1_MOUSE_Tsuboyama_2023_1E0L,bf16,37,1058,35,0.112,5.35,9485.7,312.5,0.7070880426711896,Stability,Medium,0.9999367998765839
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fp32,37,1058,35,0.305,10.809,3470.5,114.75,0.7068119962848096,Stability,Medium,1.0
TCRG1_MOUSE_Tsuboyama_2023_1E0L,fp8_dyn,37,1058,35,0.423,2.721,2501.9,82.74,0.6902046879397736,Stability,Medium,0.9971345259003402
TCRG1_MOUSE_Tsuboyama_2023_1E0L,int4_wo,37,1058,35,0.365,1.667,2897.6,95.89,0.7285863587654516,Stability,Medium,0.992625703861401
TCRG1_MOUSE_Tsuboyama_2023_1E0L,int8_dyn,37,1058,35,1.838,2.837,575.6,19.04,0.710409563987924,Stability,Medium,0.9941787992810355
TCRG1_MOUSE_Tsuboyama_2023_1E0L,int8_wo,37,1058,35,0.164,2.753,6464.9,213.41,0.7062668703925872,Stability,Medium,0.9998382467842991
