assay,config,seq_len,n_variants,n_positions,seconds,peak_mem_gb,variants_per_s,positions_per_s,rho_expt,category,msa_depth,rho_fp32
A0A192B1T2_9HIV1_Haddox_2018,bf16,852,12577,662,4.354,1.584,2888.9,152.04,0.07895674922256711,OrganismalFitness,Medium,0.9997637991804853
A0A192B1T2_9HIV1_Haddox_2018,fp32,852,12577,662,24.042,3.192,523.1,27.54,0.07984662777159011,OrganismalFitness,Medium,1.0
A0A192B1T2_9HIV1_Haddox_2018,fp8_dyn,852,12577,662,6.381,1.046,1971.1,103.75,0.07734260836882823,OrganismalFitness,Medium,0.9926621220548218
A0A192B1T2_9HIV1_Haddox_2018,int4_wo,852,12577,662,40.056,0.852,314.0,16.53,0.07469840987398813,OrganismalFitness,Medium,0.965780917500831
A0A192B1T2_9HIV1_Haddox_2018,int8_dyn,852,12577,662,29.81,1.014,421.9,22.21,0.08368086127381999,OrganismalFitness,Medium,0.9935098668582831
A0A192B1T2_9HIV1_Haddox_2018,int8_wo,852,12577,662,5.64,0.984,2230.1,117.38,0.07967841543267033,OrganismalFitness,Medium,0.9993320272017409
A0A1I9GEU1_NEIME_Kennouche_2019,bf16,161,922,161,0.383,1.31,2409.1,420.37,0.02916921578613818,Activity,Medium,0.9998443266626037
A0A1I9GEU1_NEIME_Kennouche_2019,fp32,161,922,161,1.102,2.652,836.7,146.1,0.029715820499270573,Activity,Medium,1.0
A0A1I9GEU1_NEIME_Kennouche_2019,fp8_dyn,161,922,161,1.549,0.718,595.3,103.94,0.027116557051700303,Activity,Medium,0.9949306830467587
A0A1I9GEU1_NEIME_Kennouche_2019,int4_wo,161,922,161,1.932,0.577,477.3,83.33,0.022660157384655186,Activity,Medium,0.9709229561542398
A0A1I9GEU1_NEIME_Kennouche_2019,int8_dyn,161,922,161,6.821,0.738,135.2,23.6,0.028196204084986153,Activity,Medium,0.9963515846629868
A0A1I9GEU1_NEIME_Kennouche_2019,int8_wo,161,922,161,0.564,0.708,1634.8,285.46,0.029720752124368612,Activity,Medium,0.9996608264662147
A0A247D711_LISMN_Stadelmann_2021,bf16,87,1653,87,0.213,1.28,7755.1,408.45,0.0655416964059819,Activity,Low,0.9998414479553845
A0A247D711_LISMN_Stadelmann_2021,fp32,87,1653,87,0.387,2.591,4276.1,224.81,0.06610153109934362,Activity,Low,1.0
A0A247D711_LISMN_Stadelmann_2021,fp8_dyn,87,1653,87,0.829,0.682,1994.2,104.95,0.06685738143099838,Activity,Low,0.9983604137739593
A0A247D711_LISMN_Stadelmann_2021,int4_wo,87,1653,87,0.616,0.547,2683.7,141.23,0.05480173901851652,Activity,Low,0.988441717973254
A0A247D711_LISMN_Stadelmann_2021,int8_dyn,87,1653,87,3.592,0.709,460.1,24.22,0.06882382994770364,Activity,Low,0.996997181744274
A0A247D711_LISMN_Stadelmann_2021,int8_wo,87,1653,87,0.307,0.68,5376.3,283.39,0.06528201629020869,Activity,Low,0.9998183355605889
A0A2Z5U3Z0_9INFA_Doud_2016,bf16,565,10715,564,2.344,1.472,4571.5,240.61,0.5062491267549614,OrganismalFitness,Medium,0.9993724914612278
A0A2Z5U3Z0_9INFA_Doud_2016,fp32,565,10715,564,12.659,2.963,846.4,44.55,0.5066937769404689,OrganismalFitness,Medium,1.0
A0A2Z5U3Z0_9INFA_Doud_2016,fp8_dyn,565,10715,564,5.376,0.91,1993.0,104.91,0.5069945220764069,OrganismalFitness,Medium,0.9794733939318759
A0A2Z5U3Z0_9INFA_Doud_2016,int4_wo,565,10715,564,22.56,0.737,475.0,25.0,0.4808282499515469,OrganismalFitness,Medium,0.909252026472237
A0A2Z5U3Z0_9INFA_Doud_2016,int8_dyn,565,10715,564,23.933,0.897,447.7,23.57,0.507304045676955,OrganismalFitness,Medium,0.9762059016718786
A0A2Z5U3Z0_9INFA_Doud_2016,int8_wo,565,10715,564,3.167,0.871,3383.4,178.09,0.5045807820696486,OrganismalFitness,Medium,0.9985986250912803
A0A2Z5U3Z0_9INFA_Wu_2014,bf16,565,2350,552,2.209,1.472,1064.0,249.89,0.4644709307673689,OrganismalFitness,Medium,0.9992908704372498
A0A2Z5U3Z0_9INFA_Wu_2014,fp32,565,2350,552,12.299,2.963,191.1,44.88,0.46419688375825524,OrganismalFitness,Medium,1.0
A0A2Z5U3Z0_9INFA_Wu_2014,fp8_dyn,565,2350,552,5.141,0.91,457.1,107.37,0.4634364008532279,OrganismalFitness,Medium,0.976918167272313
A0A2Z5U3Z0_9INFA_Wu_2014,int4_wo,565,2350,552,21.992,0.737,106.9,25.1,0.41383583688189085,OrganismalFitness,Medium,0.896767160748662
A0A2Z5U3Z0_9INFA_Wu_2014,int8_dyn,565,2350,552,23.184,0.897,101.4,23.81,0.4565308742991085,OrganismalFitness,Medium,0.9736416299004096
A0A2Z5U3Z0_9INFA_Wu_2014,int8_wo,565,2350,552,3.01,0.871,780.8,183.39,0.46291255412513466,OrganismalFitness,Medium,0.9984734831288825
A4D664_9INFA_Soh_2019,bf16,759,14421,759,4.247,1.549,3395.7,178.71,0.14897702093947107,OrganismalFitness,Medium,0.999812067329802
A4D664_9INFA_Soh_2019,fp32,759,14421,759,21.006,3.116,686.5,36.13,0.14877644305717988,OrganismalFitness,Medium,1.0
A4D664_9INFA_Soh_2019,fp8_dyn,759,14421,759,7.139,1.001,2019.9,106.32,0.15169180626603973,OrganismalFitness,Medium,0.9943506029172466
A4D664_9INFA_Soh_2019,int4_wo,759,14421,759,40.755,0.817,353.8,18.62,0.14159767403703002,OrganismalFitness,Medium,0.9597463496827952
A4D664_9INFA_Soh_2019,int8_dyn,759,14421,759,32.997,0.974,437.0,23.0,0.14920709535019452,OrganismalFitness,Medium,0.9932173037713835
A4D664_9INFA_Soh_2019,int8_wo,759,14421,759,5.594,0.948,2577.8,135.68,0.15017141372673337,OrganismalFitness,Medium,0.9995911501191331
A4GRB6_PSEAI_Chen_2020,bf16,266,5004,266,0.658,1.351,7605.0,404.26,0.7372797967591838,OrganismalFitness,High,0.9999085293141177
A4GRB6_PSEAI_Chen_2020,fp32,266,5004,266,3.149,2.731,1589.3,84.47,0.7381724637798062,OrganismalFitness,High,1.0
A4GRB6_PSEAI_Chen_2020,fp8_dyn,266,5004,266,2.56,0.767,1955.0,103.91,0.7370449413127361,OrganismalFitness,High,0.9967375927043004
A4GRB6_PSEAI_Chen_2020,int4_wo,266,5004,266,5.141,0.619,973.3,51.74,0.7117067204588617,OrganismalFitness,High,0.9827007883404112
A4GRB6_PSEAI_Chen_2020,int8_dyn,266,5004,266,9.705,0.747,515.6,27.41,0.7372407045195473,OrganismalFitness,High,0.9975897315814465
A4GRB6_PSEAI_Chen_2020,int8_wo,266,5004,266,0.953,0.75,5249.8,279.12,0.7381263908912797,OrganismalFitness,High,0.999749604424345
A4_HUMAN_Seuma_2022,bf16,770,14811,42,0.523,1.554,28318.0,80.31,0.4299811448061321,Stability,Low,0.9998040157570851
A4_HUMAN_Seuma_2022,fp32,770,14811,42,1.468,3.123,10090.0,28.61,0.43112033382036125,Stability,Low,1.0
A4_HUMAN_Seuma_2022,fp8_dyn,770,14811,42,0.732,1.008,20246.4,57.38,0.4278128570658123,Stability,Low,0.9941636400311922
A4_HUMAN_Seuma_2022,int4_wo,770,14811,42,2.575,0.821,5752.3,16.31,0.4173356736057392,Stability,Low,0.9800138605059796
A4_HUMAN_Seuma_2022,int8_dyn,770,14811,42,2.323,0.949,6374.6,18.08,0.4433150711929926,Stability,Low,0.9955250071468494
A4_HUMAN_Seuma_2022,int8_wo,770,14811,42,0.611,0.953,24254.6,68.74,0.4342748616207957,Stability,Low,0.9996052336893948
AACC1_PSEAI_Dandage_2018,bf16,177,1801,161,0.384,1.316,4686.6,419.27,0.48954503677364086,OrganismalFitness,High,0.9998124977435907
AACC1_PSEAI_Dandage_2018,fp32,177,1801,161,1.123,2.661,1604.1,143.37,0.4904275805639421,OrganismalFitness,High,1.0
AACC1_PSEAI_Dandage_2018,fp8_dyn,177,1801,161,1.558,0.725,1156.1,103.34,0.48771371632217764,OrganismalFitness,High,0.9955892674493932
AACC1_PSEAI_Dandage_2018,int4_wo,177,1801,161,2.115,0.584,851.5,76.12,0.45472143037549345,OrganismalFitness,High,0.955155535983638
AACC1_PSEAI_Dandage_2018,int8_dyn,177,1801,161,6.816,0.744,264.2,23.62,0.4916697357532236,OrganismalFitness,High,0.9955884255581161
AACC1_PSEAI_Dandage_2018,int8_wo,177,1801,161,0.573,0.716,3140.4,280.98,0.48962255076372657,OrganismalFitness,High,0.9996188015918283
ACE2_HUMAN_Chan_2020,bf16,805,2223,117,0.704,1.569,3158.3,166.19,0.22546557971371897,Binding,Medium,0.9997644222836759
ACE2_HUMAN_Chan_2020,fp32,805,2223,117,3.358,3.152,662.0,34.84,0.22454432042103228,Binding,Medium,1.0
ACE2_HUMAN_Chan_2020,fp8_dyn,805,2223,117,1.134,1.024,1959.9,103.17,0.22405314840659757,Binding,Medium,0.9886095823814978
ACE2_HUMAN_Chan_2020,int4_wo,805,2223,117,6.674,0.837,333.1,17.53,0.22522916488822173,Binding,Medium,0.953028666848652
ACE2_HUMAN_Chan_2020,int8_dyn,805,2223,117,5.279,0.994,421.1,22.16,0.22009260453442878,Binding,Medium,0.9920140521455952
ACE2_HUMAN_Chan_2020,int8_wo,805,2223,117,0.923,0.969,2408.0,126.76,0.2248618741782407,Binding,Medium,0.9993597643893455
ADRB2_HUMAN_Jones_2020,bf16,413,7800,412,1.32,1.409,5909.3,312.12,0.49278368769913183,Activity,Medium,0.9998783556733565
ADRB2_HUMAN_Jones_2020,fp32,413,7800,412,5.697,2.845,1369.2,72.32,0.4926041685455183,Activity,Medium,1.0
ADRB2_HUMAN_Jones_2020,fp8_dyn,413,7800,412,3.934,0.837,1982.9,104.73,0.48943641150415423,Activity,Medium,0.9961000748867771
ADRB2_HUMAN_Jones_2020,int4_wo,413,7800,412,12.146,0.676,642.2,33.92,0.4977299644460668,Activity,Medium,0.978386654190314
ADRB2_HUMAN_Jones_2020,int8_dyn,413,7800,412,17.205,0.836,453.4,23.95,0.4914949545814327,Activity,Medium,0.9972458398224755
ADRB2_HUMAN_Jones_2020,int8_wo,413,7800,412,1.806,0.808,4317.8,228.13,0.4927926734289307,Activity,Medium,0.9997503075555304
AICDA_HUMAN_Gajula_2014_3cycles,bf16,198,209,11,0.041,1.325,5137.9,268.29,0.3243464153410163,Activity,Medium,0.9993752951414911
AICDA_HUMAN_Gajula_2014_3cycles,fp32,198,209,11,0.093,2.68,2236.6,118.28,0.3283841065807374,Activity,Medium,1.0
AICDA_HUMAN_Gajula_2014_3cycles,fp8_dyn,198,209,11,0.154,0.736,1360.9,71.43,0.34509384332166754,Activity,Medium,0.9901387761593771
AICDA_HUMAN_Gajula_2014_3cycles,int4_wo,198,209,11,0.166,0.593,1259.4,66.27,0.3490764763424933,Activity,Medium,0.9548726698438625
AICDA_HUMAN_Gajula_2014_3cycles,int8_dyn,198,209,11,0.614,0.721,340.4,17.92,0.32047110523634487,Activity,Medium,0.9938807802092591
AICDA_HUMAN_Gajula_2014_3cycles,int8_wo,198,209,11,0.059,0.724,3544.2,186.44,0.3253542744073142,Activity,Medium,0.9993161437082354
AMFR_HUMAN_Tsuboyama_2023_4G3O,bf16,47,2972,47,0.159,1.264,18670.6,295.6,0.2617319459898658,Stability,Medium,0.9998847713662937
AMFR_HUMAN_Tsuboyama_2023_4G3O,fp32,47,2972,47,0.205,2.56,14497.7,229.27,0.26098870723076967,Stability,Medium,1.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,fp8_dyn,47,2972,47,0.501,0.663,5936.6,93.81,0.2641393611002801,Stability,Medium,0.9934006731812011
AMFR_HUMAN_Tsuboyama_2023_4G3O,int4_wo,47,2972,47,0.247,0.531,12015.8,190.28,0.2486666078963978,Stability,Medium,0.9751976570361588
AMFR_HUMAN_Tsuboyama_2023_4G3O,int8_dyn,47,2972,47,2.01,0.692,1478.6,23.38,0.2567004273189202,Stability,Medium,0.9922020297917661
AMFR_HUMAN_Tsuboyama_2023_4G3O,int8_wo,47,2972,47,0.213,0.665,13980.3,220.66,0.2576454980200483,Stability,Medium,0.9997136020600615
AMIE_PSEAE_Wrenbeck_2017,bf16,346,6227,341,0.958,1.386,6502.9,355.95,0.5569608678197621,Activity,Medium,0.9997436859963754
AMIE_PSEAE_Wrenbeck_2017,fp32,346,6227,341,4.546,2.794,1369.7,75.01,0.5569428757993578,Activity,Medium,1.0
AMIE_PSEAE_Wrenbeck_2017,fp8_dyn,346,6227,341,3.218,0.806,1934.8,105.97,0.5474048937796804,Activity,Medium,0.9934203642351205
AMIE_PSEAE_Wrenbeck_2017,int4_wo,346,6227,341,8.46,0.653,736.0,40.31,0.5202111873085341,Activity,Medium,0.9594207745725944
AMIE_PSEAE_Wrenbeck_2017,int8_dyn,346,6227,341,12.537,0.781,496.7,27.2,0.5519159856753979,Activity,Medium,0.9935812543538219
AMIE_PSEAE_Wrenbeck_2017,int8_wo,346,6227,341,1.311,0.786,4749.8,260.11,0.5574330702337977,Activity,Medium,0.9995206986540045
ANCSZ_Hobbs_2022,bf16,627,4670,274,1.32,1.498,3537.2,207.58,0.6089208942234626,Activity,Medium,0.9998965792368135
ANCSZ_Hobbs_2022,fp32,627,4670,274,6.432,3.012,726.0,42.6,0.6092739403718106,Activity,Medium,1.0
ANCSZ_Hobbs_2022,fp8_dyn,627,4670,274,2.646,0.939,1764.8,103.55,0.6049549340302479,Activity,Medium,0.9965072323136537
ANCSZ_Hobbs_2022,int4_wo,627,4670,274,12.174,0.766,383.6,22.51,0.5975141275557008,Activity,Medium,0.9841905454339153
ANCSZ_Hobbs_2022,int8_dyn,627,4670,274,11.905,0.922,392.3,23.02,0.609274654905645,Activity,Medium,0.9974981393914312
ANCSZ_Hobbs_2022,int8_wo,627,4670,274,1.75,0.897,2668.2,156.57,0.6096647634058989,Activity,Medium,0.9997548117186208
ARGR_ECOLI_Tsuboyama_2023_1AOY,bf16,69,1287,69,0.173,1.273,7451.7,398.84,0.49804894097132935,Stability,Medium,0.9996512504319399
ARGR_ECOLI_Tsuboyama_2023_1AOY,fp32,69,1287,69,0.298,2.58,4319.1,231.54,0.49650042296603936,Stability,Medium,1.0
ARGR_ECOLI_Tsuboyama_2023_1AOY,fp8_dyn,69,1287,69,0.679,0.675,1894.3,101.62,0.47754282692348393,Stability,Medium,0.9874094388204262
ARGR_ECOLI_Tsuboyama_2023_1AOY,int4_wo,69,1287,69,0.407,0.542,3160.0,169.53,0.47320790422004566,Stability,Medium,0.940170905674265
ARGR_ECOLI_Tsuboyama_2023_1AOY,int8_dyn,69,1287,69,2.943,0.701,437.3,23.45,0.48604566272618677,Stability,Medium,0.9864255022947696
ARGR_ECOLI_Tsuboyama_2023_1AOY,int8_wo,69,1287,69,0.25,0.672,5154.0,276.0,0.494594427936335,Stability,Medium,0.9989374406722313
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,bf16,198,170,10,0.038,1.325,4468.6,263.16,0.28586380915971504,Binding,Low,0.9990034100273305
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fp32,198,170,10,0.086,2.68,1984.1,116.28,0.26963318494635474,Binding,Low,1.0
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,fp8_dyn,198,170,10,0.149,0.736,1137.3,67.11,0.29380563833085477,Binding,Low,0.9697847930860147
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,int4_wo,198,170,10,0.153,0.593,1114.7,65.36,0.06727674869672129,Binding,Low,0.8455942071515251
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,int8_dyn,198,170,10,0.612,0.721,277.9,16.34,0.2726875800769678,Binding,Low,0.9485686511040214
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,int8_wo,198,170,10,0.056,0.724,3025.0,178.57,0.2708673899831251,Binding,Low,0.9982639133397968
BBC1_YEAST_Tsuboyama_2023_1TG0,bf16,64,2069,64,0.174,1.271,11890.4,367.82,0.4796529315297712,Stability,High,0.9999328678650451
BBC1_YEAST_Tsuboyama_2023_1TG0,fp32,64,2069,64,0.289,2.573,7153.6,221.45,0.4792237711763382,Stability,High,1.0
BBC1_YEAST_Tsuboyama_2023_1TG0,fp8_dyn,64,2069,64,0.623,0.672,3320.5,102.73,0.4790354911611708,Stability,High,0.9976056100801737
BBC1_YEAST_Tsuboyama_2023_1TG0,int4_wo,64,2069,64,0.372,0.539,5560.4,172.04,0.49230678194483635,Stability,High,0.9873531744471932
BBC1_YEAST_Tsuboyama_2023_1TG0,int8_dyn,64,2069,64,2.638,0.7,784.4,24.26,0.4850656336554977,Stability,High,0.9984550375186414
BBC1_YEAST_Tsuboyama_2023_1TG0,int8_wo,64,2069,64,0.241,0.67,8580.6,265.56,0.47649194196595707,Stability,High,0.9998656835634863
BCHB_CHLTE_Tsuboyama_2023_2KRU,bf16,52,1572,52,0.148,1.266,10613.2,351.35,0.5121359605476503,Stability,Medium,0.9998299983926345
BCHB_CHLTE_Tsuboyama_2023_2KRU,fp32,52,1572,52,0.219,2.563,7164.4,237.44,0.5097117607914667,Stability,Medium,1.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,fp8_dyn,52,1572,52,0.541,0.666,2907.4,96.12,0.4844167760679584,Stability,Medium,0.9943834130791105
BCHB_CHLTE_Tsuboyama_2023_2KRU,int4_wo,52,1572,52,0.265,0.535,5942.8,196.23,0.5288614944252067,Stability,Medium,0.9810846747835023
BCHB_CHLTE_Tsuboyama_2023_2KRU,int8_dyn,52,1572,52,2.294,0.694,685.2,22.67,0.521744437141907,Stability,Medium,0.9959184646014113
BCHB_CHLTE_Tsuboyama_2023_2KRU,int8_wo,52,1572,52,0.208,0.667,7570.6,250.0,0.5109737669538028,Stability,Medium,0.9997698910331259
BLAT_ECOLX_Deng_2012,bf16,286,4996,263,0.647,1.36,7723.2,406.49,0.5289101341806661,OrganismalFitness,High,0.9998478386561066
BLAT_ECOLX_Deng_2012,fp32,286,4996,263,3.126,2.752,1598.0,84.13,0.5280745446045008,OrganismalFitness,High,1.0
BLAT_ECOLX_Deng_2012,fp8_dyn,286,4996,263,2.437,0.78,2050.0,107.92,0.528901560489583,OrganismalFitness,High,0.9956605924353872
BLAT_ECOLX_Deng_2012,int4_wo,286,4996,263,5.43,0.626,920.1,48.43,0.5143101372305069,OrganismalFitness,High,0.9726743107615137
BLAT_ECOLX_Deng_2012,int8_dyn,286,4996,263,9.394,0.758,531.8,28.0,0.5282810114397948,OrganismalFitness,High,0.9966184936521746
BLAT_ECOLX_Deng_2012,int8_wo,286,4996,263,0.914,0.759,5464.5,287.75,0.528168299338809,OrganismalFitness,High,0.9996823609822767
BLAT_ECOLX_Firnberg_2014,bf16,286,4783,263,0.641,1.36,7458.9,410.3,0.7366001810907169,OrganismalFitness,High,0.9998443786339546
BLAT_ECOLX_Firnberg_2014,fp32,286,4783,263,3.123,2.752,1531.5,84.21,0.7371013407503202,OrganismalFitness,High,1.0
BLAT_ECOLX_Firnberg_2014,fp8_dyn,286,4783,263,2.431,0.78,1967.4,108.19,0.7375593491807773,OrganismalFitness,High,0.9956609025312536
BLAT_ECOLX_Firnberg_2014,int4_wo,286,4783,263,5.426,0.626,881.6,48.47,0.7152151704277508,OrganismalFitness,High,0.9722747335451594
BLAT_ECOLX_Firnberg_2014,int8_dyn,286,4783,263,9.392,0.758,509.3,28.0,0.7404183016246767,OrganismalFitness,High,0.996549091326213
BLAT_ECOLX_Firnberg_2014,int8_wo,286,4783,263,0.904,0.759,5289.9,290.93,0.7380492949801393,OrganismalFitness,High,0.9996760918587586
BLAT_ECOLX_Jacquier_2013,bf16,286,989,263,0.605,1.36,1635.6,434.71,0.7032284250024949,OrganismalFitness,High,0.9998374369438673
BLAT_ECOLX_Jacquier_2013,fp32,286,989,263,3.086,2.752,320.5,85.22,0.7037821407988765,OrganismalFitness,High,1.0
BLAT_ECOLX_Jacquier_2013,fp8_dyn,286,989,263,2.397,0.78,412.6,109.72,0.6993522530283466,OrganismalFitness,High,0.9953557930673832
BLAT_ECOLX_Jacquier_2013,int4_wo,286,989,263,5.388,0.626,183.5,48.81,0.6786400196666588,OrganismalFitness,High,0.9737616788662555
BLAT_ECOLX_Jacquier_2013,int8_dyn,286,989,263,9.331,0.758,106.0,28.19,0.7036863913253358,OrganismalFitness,High,0.9968399361921407
BLAT_ECOLX_Jacquier_2013,int8_wo,286,989,263,0.868,0.759,1138.9,303.0,0.705071056664096,OrganismalFitness,High,0.9996534754521387
BLAT_ECOLX_Stiffler_2015,bf16,286,4996,263,0.645,1.36,7746.4,407.75,0.7311484993819838,OrganismalFitness,High,0.9998478386561066
BLAT_ECOLX_Stiffler_2015,fp32,286,4996,263,3.126,2.752,1598.3,84.13,0.7314915516565302,OrganismalFitness,High,1.0
BLAT_ECOLX_Stiffler_2015,fp8_dyn,286,4996,263,2.439,0.78,2048.4,107.83,0.730854805558495,OrganismalFitness,High,0.9956605924353872
BLAT_ECOLX_Stiffler_2015,int4_wo,286,4996,263,5.428,0.626,920.4,48.45,0.7056753830844178,OrganismalFitness,High,0.9726743107615137
BLAT_ECOLX_Stiffler_2015,int8_dyn,286,4996,263,9.355,0.758,534.0,28.11,0.7355421021872599,OrganismalFitness,High,0.9966184936521746
BLAT_ECOLX_Stiffler_2015,int8_wo,286,4996,263,0.909,0.759,5493.8,289.33,0.7325790668215195,OrganismalFitness,High,0.9996823609822767
C6KNH7_9INFA_Lee_2018,bf16,566,10754,566,2.338,1.473,4600.5,242.09,0.4819261856283887,OrganismalFitness,Medium,0.9995223843742933
C6KNH7_9INFA_Lee_2018,fp32,566,10754,566,12.699,2.964,846.9,44.57,0.48302139675803923,OrganismalFitness,Medium,1.0
C6KNH7_9INFA_Lee_2018,fp8_dyn,566,10754,566,5.311,0.91,2024.9,106.57,0.47514390571751147,OrganismalFitness,Medium,0.9860799317489818
C6KNH7_9INFA_Lee_2018,int4_wo,566,10754,566,22.676,0.737,474.3,24.96,0.45925677711910495,OrganismalFitness,Medium,0.9220436021485243
C6KNH7_9INFA_Lee_2018,int8_dyn,566,10754,566,22.153,0.867,485.4,25.55,0.48557094210323076,OrganismalFitness,Medium,0.9844014164043202
C6KNH7_9INFA_Lee_2018,int8_wo,566,10754,566,3.162,0.871,3400.8,179.0,0.48187265495429493,OrganismalFitness,Medium,0.9988364344307973
CALM1_HUMAN_Weile_2017,bf16,149,1813,148,0.354,1.305,5121.3,418.08,0.2101605432045134,OrganismalFitness,High,0.9997740521802629
CALM1_HUMAN_Weile_2017,fp32,149,1813,148,0.946,2.64,1917.0,156.45,0.21161860375234082,OrganismalFitness,High,1.0
CALM1_HUMAN_Weile_2017,fp8_dyn,149,1813,148,1.414,0.712,1281.9,104.67,0.2163857002696728,OrganismalFitness,High,0.9935322448004634
CALM1_HUMAN_Weile_2017,int4_wo,149,1813,148,1.664,0.575,1089.7,88.94,0.20764118846623483,OrganismalFitness,High,0.9693035030180657
