assay,seq_len,rho_fp32_expt,delta_int8_dyn,fid_int8_dyn,delta_int8_dyn_asym,fid_int8_dyn_asym,delta_int8_dyn_sq,fid_int8_dyn_sq
A0A192B1T2_9HIV1_Haddox_2018,852,0.13157921086160804,-0.0007837511594985247,0.9687356572678327,-0.0001413824490214266,0.9961550992012792,-0.004473281339529067,0.9930788727841438
A0A1I9GEU1_NEIME_Kennouche_2019,161,0.027447900251348845,0.010035875585793285,0.9895313136683126,2.3926996999542455e-05,0.998436717819231,0.0027323181206097696,0.9970690539033215
A0A247D711_LISMN_Stadelmann_2021,87,0.08378238676425884,-0.011757320585663644,0.911637522896927,-0.0071440865741874415,0.9944087383983784,-0.003662415681227771,0.997637910669795
A0A2Z5U3Z0_9INFA_Doud_2016,565,0.4976486470079242,-0.0025356704675597586,0.9815100217015775,-0.0027928400433105405,0.995976951115395,-0.0010603477917364157,0.9910598086577511
A0A2Z5U3Z0_9INFA_Wu_2014,565,0.4812490363051836,-0.003460587002156512,0.97941888246397,-0.0053299402766638915,0.9953137929830654,-0.0035181594741012234,0.990303573925501
A4D664_9INFA_Soh_2019,759,0.21095654985345516,-0.0025968003482494395,0.9696668474447976,0.0010828914166785553,0.9972700549595608,-0.0007791226521689509,0.9961259965902132
A4GRB6_PSEAI_Chen_2020,266,0.7117230965733381,3.778432786738506e-05,0.9911761009194568,0.0016709772446443782,0.9982426349399701,0.003106039202539046,0.9974955634833722
A4_HUMAN_Seuma_2022,770,0.47967671775694903,-0.031198646639200744,0.9725665681462651,-0.009360870935924137,0.9944213068341168,-0.008081720410031357,0.9882827166996343
AACC1_PSEAI_Dandage_2018,177,0.5108110995755487,-0.003934537300907204,0.9927420870416696,-0.0018652522072990507,0.998560287295707,-0.00010071027063318638,0.9980089681410845
ACE2_HUMAN_Chan_2020,805,0.17489633729165752,0.015736472581735994,0.9899061920598303,-0.0012545389928128037,0.9974742373355029,-0.00763602320330703,0.995262022707806
ADRB2_HUMAN_Jones_2020,413,0.5051372907303704,-0.0015817469291702357,0.9940726157168505,-0.001166679405730564,0.9990446719507072,0.0001220667020676025,0.9982590945292306
AICDA_HUMAN_Gajula_2014_3cycles,198,0.3470952680060249,0.00014750396375007302,0.9784054264307609,-0.00999557143449592,0.9947654198978484,-0.006244495487962243,0.9964482815525211
AMFR_HUMAN_Tsuboyama_2023_4G3O,47,0.29715549783230166,0.014183598162383015,0.9961192875712986,0.003454843798535001,0.9992986101694595,-0.0011544819013086793,0.9997502820000052
AMIE_PSEAE_Wrenbeck_2017,346,0.6744483783654985,-0.004124516239374376,0.9819798025904009,-0.0004251089458883195,0.997396014099842,-0.0030033125072207456,0.994491961925255
ANCSZ_Hobbs_2022,627,0.597874891410449,-0.00162821738412533,0.9957662574249796,-0.000810037520352469,0.9991100113169055,-0.00017605784391483414,0.9971153513481991
ARGR_ECOLI_Tsuboyama_2023_1AOY,69,0.499455472316715,-0.024902506320281348,0.8589885074621961,-0.0037697997860885457,0.9940356631864509,-0.0033435910271604197,0.9970097009613978
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,198,0.3668846672895256,0.020853922234375433,0.987557958593583,-0.0004238527344353482,0.9973039535840224,-0.009248488143577205,0.9955703090861118
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.4576243163680104,-0.0059522425273279556,0.9959602668017684,-0.00553625372852079,0.9992734511624434,0.007129151076576079,0.999055522193316
BCHB_CHLTE_Tsuboyama_2023_2KRU,52,0.5205996665570809,-0.012881132106027038,0.9899579693079578,-0.0006256282636627475,0.998687670320468,0.001584014399536704,0.9988363514177228
BLAT_ECOLX_Deng_2012,286,0.46074305025864853,0.0017028398401302547,0.9824270504949206,0.0009026735589093837,0.9963956092332173,0.0030442527419030085,0.9932591408885812
BLAT_ECOLX_Firnberg_2014,286,0.5728511668468381,0.02725063811938999,0.9822716743055667,0.004222515546299488,0.9963915893412549,-0.0009428186480731071,0.9933733851604895
BLAT_ECOLX_Jacquier_2013,286,0.5879431984396909,0.013335639665394416,0.9809009094841742,0.0024415429600664895,0.9960948476282042,-0.0007991270537812678,0.9925699623837618
BLAT_ECOLX_Stiffler_2015,286,0.5893394010615006,0.026619158568725543,0.9824270504949206,0.00531638878282692,0.9963956092332173,-0.0006864593752189396,0.9932591408885812
C6KNH7_9INFA_Lee_2018,566,0.4048449316964895,0.008105814201894712,0.9668446765944146,-0.0010215914032736806,0.9944781247783502,-0.0007752355906259778,0.9860589081563707
CALM1_HUMAN_Weile_2017,149,0.21799754902818938,-0.0032437395523237933,0.9921797647407015,0.0002728755082400669,0.9980925671910188,-0.0015371530886818807,0.9964860632307064
CAPSD_AAV2S_Sinai_2021,735,0.18304302615052803,-0.01895803703269272,0.9766453333021258,-0.012746007437179657,0.9968407128744217,0.014377600036609234,0.9936854802797974
CASP3_HUMAN_Roychowdhury_2020,258,0.5541174235466694,0.014874380851461422,0.9808492232217538,0.006536761670800084,0.9970058832252374,-0.0038876226385839985,0.99410848790581
CASP7_HUMAN_Roychowdhury_2020,281,0.5722983431572117,0.012462112883493637,0.9865354588660403,0.006671335689167335,0.9964656335253826,0.0011386083811232295,0.9947062456031748
CATR_CHLRE_Tsuboyama_2023_2AMI,72,0.6152015959213933,-0.0001267653788724621,0.9953822649231806,0.003332999861021091,0.9990114505382078,-0.003124381361994333,0.9974837759102659
CBPA2_HUMAN_Tsuboyama_2023_1O6X,72,0.7273087066906441,0.013156229564938449,0.9903132908969755,0.01341314575397401,0.9986431588952663,0.01600092856979407,0.9978278525111974
CBS_HUMAN_Sun_2020,551,0.32921825599253407,-0.006311194847900492,0.9924632136080129,-0.003065090501735368,0.9985595307519475,-0.0017154017191676196,0.9978570381709139
CBX4_HUMAN_Tsuboyama_2023_2K28,50,0.6094347286311191,-0.00688732120561053,0.9913719570091352,-0.004735808478242065,0.9990872463831394,-0.0020213088641997112,0.9993853311844226
CCDB_ECOLI_Adkar_2012,101,0.46328760445522466,0.002039102311588048,0.989750313003647,0.0034956168188438053,0.9974377156922488,0.008466954502868718,0.9951944109610014
CCDB_ECOLI_Tripathi_2016,101,0.52229681338715,-0.0008213723110848115,0.9881277941478968,0.002225699091131461,0.9972457722077912,0.004069850125496988,0.9949906872298659
CCR5_HUMAN_Gill_2023,352,0.3393479419913969,0.00352514678351451,0.9941712037416135,0.0014187877543549443,0.9986964879083929,0.001983462388159385,0.9976504855106014
CD19_HUMAN_Klesmith_2019_FMC_singles,556,0.12314215111879839,-0.014064728445827318,0.9805382114870955,-0.0008367935769858642,0.9963897399020295,0.0034334856730105223,0.9941229031102912
CP2C9_HUMAN_Amorosi_2021_abundance,490,0.6264642864129467,0.0028995513424383557,0.9954107925941144,-0.0010454673343284204,0.9987550299086052,0.0008133421665007523,0.9979815463200185
CP2C9_HUMAN_Amorosi_2021_activity,490,0.6783535123168202,-0.004873101076471875,0.9951197241389614,-0.0005243832608490262,0.9987015484033019,0.0010444262703247498,0.9979982331895862
CSN4_MOUSE_Tsuboyama_2023_1UFM,72,0.4230348541712098,-0.0009807569994494392,0.9933151026607631,-0.0015475304056121186,0.9987867103941013,0.00743852088264102,0.998539678328535
CUE1_YEAST_Tsuboyama_2023_2MYX,52,0.4979004223506323,-0.00453901816731872,0.9885298349228976,0.0026313418536496047,0.9980237277573518,0.00034840222058263315,0.9982109848661592
D7PM05_CLYGR_Somermeyer_2022,235,0.07215444791374256,-0.01571809445746032,0.894906704751897,0.007247874790248493,0.9890329147460506,-0.0027277057060746263,0.9932666927879584
